from,to,imports
edu.stanford.cs.controller,edu.stanford.cs.java2js,1
edu.stanford.cs.jsconsole,edu.stanford.cs.java2js,2
edu.stanford.cs.jscontrols,edu.stanford.cs.controller,6
edu.stanford.cs.jscontrols,edu.stanford.cs.java2js,3
edu.stanford.cs.jseditor,edu.stanford.cs.java2js,6
edu.stanford.cs.jsmenu,edu.stanford.cs.controller,8
edu.stanford.cs.parser,edu.stanford.cs.exp,20
edu.stanford.cs.parser,edu.stanford.cs.tokenscanner,1
edu.stanford.cs.parser,edu.stanford.cs.utf8,1
edu.stanford.cs.programeditor,edu.stanford.cs.jseditor,5
edu.stanford.cs.programeditor,edu.stanford.cs.java2js,4
edu.stanford.cs.sjs,edu.stanford.cs.parser,173
edu.stanford.cs.sjs,edu.stanford.cs.exp,70
edu.stanford.cs.sjs,edu.stanford.cs.jsmenu,29
edu.stanford.cs.sjs,edu.stanford.cs.svm,23
edu.stanford.cs.sjs,edu.stanford.cs.java2js,21
edu.stanford.cs.sjs,edu.stanford.cs.controller,11
edu.stanford.cs.sjs,edu.stanford.cs.jscontrols,10
edu.stanford.cs.sjs,edu.stanford.cs.graphics,4
edu.stanford.cs.sjs,edu.stanford.cs.jsconsole,3
edu.stanford.cs.sjs,edu.stanford.cs.file,2
edu.stanford.cs.sjs,edu.stanford.cs.sjslib,2
edu.stanford.cs.sjs,edu.stanford.cs.svmtools,2
edu.stanford.cs.sjs,edu.stanford.cs.shellargs,1
edu.stanford.cs.sjs,edu.stanford.cs.tokenscanner,1
edu.stanford.cs.sjslib.core,edu.stanford.cs.svm,212
edu.stanford.cs.sjslib.core,edu.stanford.cs.exp,120
edu.stanford.cs.sjslib.core,edu.stanford.cs.jsconsole,17
edu.stanford.cs.sjslib.core,edu.stanford.cs.sjs,7
edu.stanford.cs.sjslib.core,edu.stanford.cs.java2js,3
edu.stanford.cs.sjslib.english,edu.stanford.cs.svm,11
edu.stanford.cs.sjslib.english,edu.stanford.cs.exp,6
edu.stanford.cs.sjslib.english,edu.stanford.cs.english,2
edu.stanford.cs.sjslib.file,edu.stanford.cs.svm,11
edu.stanford.cs.sjslib.file,edu.stanford.cs.sjs,4
edu.stanford.cs.sjslib.file,edu.stanford.cs.exp,3
edu.stanford.cs.sjslib.file,edu.stanford.cs.java2js,1
edu.stanford.cs.sjslib.graphics,edu.stanford.cs.svm,262
edu.stanford.cs.sjslib.graphics,edu.stanford.cs.exp,192
edu.stanford.cs.sjslib.graphics,edu.stanford.cs.graphics,64
edu.stanford.cs.sjslib.graphics,edu.stanford.cs.java2js,19
edu.stanford.cs.sjslib.graphics,edu.stanford.cs.sjs,13
edu.stanford.cs.sjslib.graphics,edu.stanford.cs.sjslib,2
edu.stanford.cs.sjslib.stub,edu.stanford.cs.svm,8
edu.stanford.cs.sjslib.stub,edu.stanford.cs.exp,1
edu.stanford.cs.sjslib.tokenscanner,edu.stanford.cs.svm,34
edu.stanford.cs.sjslib.tokenscanner,edu.stanford.cs.exp,23
edu.stanford.cs.sjslib.tokenscanner,edu.stanford.cs.tokenscanner,3
edu.stanford.cs.sjslib.unittest,edu.stanford.cs.svm,15
edu.stanford.cs.sjslib.unittest,edu.stanford.cs.exp,6
edu.stanford.cs.sjslib.unittest,edu.stanford.cs.unittest,6
edu.stanford.cs.sjslib.util,edu.stanford.cs.svm,104
edu.stanford.cs.sjslib.util,edu.stanford.cs.exp,71
edu.stanford.cs.sjslib.util,edu.stanford.cs.random,4
edu.stanford.cs.sjslib.util,edu.stanford.cs.sjslib,1
edu.stanford.cs.svm,edu.stanford.cs.exp,42
edu.stanford.cs.svm,edu.stanford.cs.parser,17
edu.stanford.cs.svm,edu.stanford.cs.tokenscanner,11
edu.stanford.cs.svm,edu.stanford.cs.java2js,3
edu.stanford.cs.svm,edu.stanford.cs.jsconsole,3
edu.stanford.cs.svm,edu.stanford.cs.controller,2
edu.stanford.cs.svm,edu.stanford.cs.utf8,1
edu.stanford.cs.svmtools,edu.stanford.cs.programeditor,2
edu.stanford.cs.svmtools,edu.stanford.cs.tokenscanner,1
